"","scenario","run","dist.of.pi","num.of.studies","sample.sizes","true.pi","heterogeneity","num.of.events","sample.pi"
"1",388,1,"unif",5,132,0.05,0.5,6,0.0520352427430748
"2",388,1,"unif",5,144,0.05,0.5,4,0.0507661622477086
"3",388,1,"unif",5,152,0.05,0.5,3,0.0506953612353425
"4",388,1,"unif",5,145,0.05,0.5,8,0.0498574683277246
"5",388,1,"unif",5,150,0.05,0.5,6,0.0510923495108505
"6",388,2,"unif",5,111,0.05,0.5,9,0.0479888150642735
"7",388,2,"unif",5,113,0.05,0.5,9,0.0487117127820763
"8",388,2,"unif",5,138,0.05,0.5,6,0.0521177053965199
"9",388,2,"unif",5,78,0.05,0.5,5,0.0480725045019492
"10",388,2,"unif",5,174,0.05,0.5,12,0.0503708548898997
"11",388,3,"unif",5,172,0.05,0.5,10,0.0481184694466567
"12",388,3,"unif",5,159,0.05,0.5,9,0.0497227418056312
"13",388,3,"unif",5,177,0.05,0.5,7,0.0480118044119535
"14",388,3,"unif",5,67,0.05,0.5,3,0.0492501920174936
"15",388,3,"unif",5,52,0.05,0.5,5,0.0490546685781878
"16",388,4,"unif",5,80,0.05,0.5,3,0.0516408787915267
"17",388,4,"unif",5,143,0.05,0.5,8,0.0513681830251157
"18",388,4,"unif",5,161,0.05,0.5,7,0.0505655306109109
"19",388,4,"unif",5,62,0.05,0.5,7,0.0507411916325525
"20",388,4,"unif",5,106,0.05,0.5,10,0.0487044272410114
"21",388,5,"unif",5,195,0.05,0.5,9,0.0505898058941175
"22",388,5,"unif",5,192,0.05,0.5,9,0.0493901872786428
"23",388,5,"unif",5,108,0.05,0.5,8,0.0521340189178908
"24",388,5,"unif",5,71,0.05,0.5,3,0.0511375990193661
"25",388,5,"unif",5,191,0.05,0.5,8,0.0481490601648705
"26",388,6,"unif",5,130,0.05,0.5,4,0.0478542192626025
"27",388,6,"unif",5,127,0.05,0.5,6,0.0500167884204518
"28",388,6,"unif",5,192,0.05,0.5,8,0.0514774457142277
"29",388,6,"unif",5,80,0.05,0.5,1,0.0502555962166545
"30",388,6,"unif",5,85,0.05,0.5,6,0.0499130712538189
"31",388,7,"unif",5,100,0.05,0.5,6,0.0520352874551273
"32",388,7,"unif",5,146,0.05,0.5,6,0.0478665222835514
"33",388,7,"unif",5,110,0.05,0.5,4,0.0504020404773268
"34",388,7,"unif",5,60,0.05,0.5,2,0.0505113604656968
"35",388,7,"unif",5,189,0.05,0.5,6,0.0494962682559223
"36",388,8,"unif",5,119,0.05,0.5,6,0.0497159282459561
"37",388,8,"unif",5,89,0.05,0.5,8,0.0519167572003262
"38",388,8,"unif",5,112,0.05,0.5,5,0.048492637833456
"39",388,8,"unif",5,69,0.05,0.5,4,0.0481387736666632
"40",388,8,"unif",5,139,0.05,0.5,9,0.0511564735697554
"41",388,9,"unif",5,65,0.05,0.5,5,0.051631300432259
"42",388,9,"unif",5,90,0.05,0.5,2,0.0498443698125293
"43",388,9,"unif",5,151,0.05,0.5,7,0.0483742337128381
"44",388,9,"unif",5,135,0.05,0.5,5,0.0516109460217158
