"","scenario","run","dist.of.pi","num.of.studies","sample.sizes","true.pi","heterogeneity","num.of.events","sample.pi"
"1",541,1,"unif",15,834,0.2,0.1,164,0.206192556967361
"2",541,1,"unif",15,567,0.2,0.1,116,0.205702017876863
"3",541,1,"unif",15,616,0.2,0.1,135,0.193453543251868
"4",541,1,"unif",15,290,0.2,0.1,52,0.195706905611064
"5",541,1,"unif",15,414,0.2,0.1,90,0.204437397211178
"6",541,1,"unif",15,222,0.2,0.1,43,0.199468590690296
"7",541,1,"unif",15,709,0.2,0.1,136,0.194277773666711
"8",541,1,"unif",15,515,0.2,0.1,104,0.206648242197425
"9",541,1,"unif",15,558,0.2,0.1,105,0.205991865216449
"10",541,1,"unif",15,331,0.2,0.1,54,0.193608978886208
"11",541,1,"unif",15,786,0.2,0.1,145,0.195165558433558
"12",541,1,"unif",15,447,0.2,0.1,85,0.19453590396659
"13",541,1,"unif",15,294,0.2,0.1,56,0.193426985512597
"14",541,1,"unif",15,504,0.2,0.1,95,0.19351129565809
"15",541,1,"unif",15,234,0.2,0.1,32,0.19420384385858
"16",541,2,"unif",15,699,0.2,0.1,132,0.197346422305851
"17",541,2,"unif",15,894,0.2,0.1,173,0.200059298996208
"18",541,2,"unif",15,510,0.2,0.1,87,0.204692953506681
"19",541,2,"unif",15,348,0.2,0.1,70,0.195135204471354
"20",541,2,"unif",15,622,0.2,0.1,106,0.198666514276494
"21",541,2,"unif",15,555,0.2,0.1,98,0.202184486654927
"22",541,2,"unif",15,943,0.2,0.1,171,0.193295643361889
"23",541,2,"unif",15,654,0.2,0.1,146,0.199557031892705
"24",541,2,"unif",15,564,0.2,0.1,109,0.204172800775634
"25",541,2,"unif",15,568,0.2,0.1,142,0.205496083254132
"26",541,2,"unif",15,942,0.2,0.1,195,0.202000814336638
"27",541,2,"unif",15,333,0.2,0.1,56,0.198991790933102
"28",541,2,"unif",15,933,0.2,0.1,165,0.200834220376032
"29",541,2,"unif",15,551,0.2,0.1,105,0.19346788840349
"30",541,2,"unif",15,528,0.2,0.1,110,0.199810200799916
"31",541,3,"unif",15,591,0.2,0.1,129,0.20404750010286
"32",541,3,"unif",15,862,0.2,0.1,171,0.199463197145444
"33",541,3,"unif",15,907,0.2,0.1,182,0.203516401830716
"34",541,3,"unif",15,345,0.2,0.1,81,0.206913409537393
"35",541,3,"unif",15,874,0.2,0.1,160,0.205415056485772
"36",541,3,"unif",15,958,0.2,0.1,195,0.20213805520933
"37",541,3,"unif",15,499,0.2,0.1,105,0.195036230642226
"38",541,3,"unif",15,959,0.2,0.1,213,0.205498931414194
"39",541,3,"unif",15,279,0.2,0.1,60,0.204356089954109
"40",541,3,"unif",15,865,0.2,0.1,187,0.200441269682845
"41",541,3,"unif",15,897,0.2,0.1,190,0.19744367759197
"42",541,3,"unif",15,445,0.2,0.1,76,0.19497476537475
"43",541,3,"unif",15,819,0.2,0.1,180,0.203987399184008
"44",541,3,"unif",15,623,0.2,0.1,128,0.205192726586435
"45",541,3,"unif",15,797,0.2,0.1,163,0.194550038631503
"46",541,4,"unif",15,341,0.2,0.1,70,0.200086534981898
"47",541,4,"unif",15,761,0.2,0.1,142,0.19547418949301
"48",541,4,"unif",15,764,0.2,0.1,141,0.195843075564114
"49",541,4,"unif",15,330,0.2,0.1,51,0.194682690914611
"50",541,4,"unif",15,471,0.2,0.1,95,0.197337291541964
"51",541,4,"unif",15,732,0.2,0.1,155,0.201091493527243
"52",541,4,"unif",15,895,0.2,0.1,167,0.193083694038652
"53",541,4,"unif",15,245,0.2,0.1,48,0.202628395985559
"54",541,4,"unif",15,359,0.2,0.1,66,0.201206943200771
"55",541,4,"unif",15,877,0.2,0.1,156,0.193591907963497
"56",541,4,"unif",15,639,0.2,0.1,127,0.202878509981935
"57",541,4,"unif",15,759,0.2,0.1,150,0.196789075399504
"58",541,4,"unif",15,402,0.2,0.1,81,0.1933403886942
"59",541,4,"unif",15,754,0.2,0.1,153,0.204766529397881
"60",541,4,"unif",15,860,0.2,0.1,172,0.203896784735295
"61",541,5,"unif",15,792,0.2,0.1,179,0.205728483846987
"62",541,5,"unif",15,213,0.2,0.1,39,0.194164629794204
"63",541,5,"unif",15,927,0.2,0.1,196,0.203544196009617
"64",541,5,"unif",15,666,0.2,0.1,145,0.20300571943682
"65",541,5,"unif",15,743,0.2,0.1,135,0.201262683605966
"66",541,5,"unif",15,863,0.2,0.1,176,0.198807093613617
"67",541,5,"unif",15,210,0.2,0.1,54,0.195727784393598
"68",541,5,"unif",15,872,0.2,0.1,168,0.196109722095606
"69",541,5,"unif",15,719,0.2,0.1,150,0.202863314898646
"70",541,5,"unif",15,755,0.2,0.1,154,0.193153445835811
"71",541,5,"unif",15,891,0.2,0.1,201,0.201858489511316
"72",541,5,"unif",15,662,0.2,0.1,138,0.193083631556913
"73",541,5,"unif",15,331,0.2,0.1,62,0.19929186670461
"74",541,5,"unif",15,781,0.2,0.1,150,0.206782514282586
"75",541,5,"unif",15,935,0.2,0.1,196,0.196245360423169
"76",541,6,"unif",15,752,0.2,0.1,149,0.201060956655854
"77",541,6,"unif",15,481,0.2,0.1,109,0.198734142465601
"78",541,6,"unif",15,840,0.2,0.1,169,0.20052636398432
"79",541,6,"unif",15,525,0.2,0.1,108,0.200686125415221
"80",541,6,"unif",15,513,0.2,0.1,107,0.201022687528166
"81",541,6,"unif",15,489,0.2,0.1,97,0.198769895005524
