"","scenario","run","dist.of.pi","num.of.studies","sample.sizes","true.pi","heterogeneity","num.of.events","sample.pi"
"1",227,1,"NA",15,884,0.01,0,9,0.01
"2",227,1,"NA",15,830,0.01,0,8,0.01
"3",227,1,"NA",15,899,0.01,0,10,0.01
"4",227,1,"NA",15,564,0.01,0,7,0.01
"5",227,1,"NA",15,217,0.01,0,5,0.01
"6",227,1,"NA",15,716,0.01,0,4,0.01
"7",227,1,"NA",15,836,0.01,0,8,0.01
"8",227,1,"NA",15,392,0.01,0,5,0.01
"9",227,1,"NA",15,244,0.01,0,2,0.01
"10",227,1,"NA",15,690,0.01,0,10,0.01
"11",227,1,"NA",15,880,0.01,0,9,0.01
"12",227,1,"NA",15,783,0.01,0,6,0.01
"13",227,1,"NA",15,773,0.01,0,9,0.01
"14",227,1,"NA",15,450,0.01,0,3,0.01
"15",227,1,"NA",15,261,0.01,0,3,0.01
"16",227,2,"NA",15,706,0.01,0,8,0.01
"17",227,2,"NA",15,794,0.01,0,5,0.01
"18",227,2,"NA",15,781,0.01,0,7,0.01
"19",227,2,"NA",15,659,0.01,0,7,0.01
"20",227,2,"NA",15,470,0.01,0,7,0.01
"21",227,2,"NA",15,270,0.01,0,3,0.01
"22",227,2,"NA",15,211,0.01,0,2,0.01
"23",227,2,"NA",15,426,0.01,0,1,0.01
"24",227,2,"NA",15,955,0.01,0,8,0.01
"25",227,2,"NA",15,653,0.01,0,7,0.01
"26",227,2,"NA",15,821,0.01,0,8,0.01
"27",227,2,"NA",15,909,0.01,0,5,0.01
"28",227,2,"NA",15,391,0.01,0,1,0.01
"29",227,2,"NA",15,966,0.01,0,6,0.01
"30",227,2,"NA",15,421,0.01,0,6,0.01
"31",227,3,"NA",15,540,0.01,0,6,0.01
"32",227,3,"NA",15,430,0.01,0,3,0.01
"33",227,3,"NA",15,220,0.01,0,3,0.01
"34",227,3,"NA",15,963,0.01,0,5,0.01
"35",227,3,"NA",15,582,0.01,0,6,0.01
"36",227,3,"NA",15,213,0.01,0,1,0.01
"37",227,3,"NA",15,792,0.01,0,5,0.01
"38",227,3,"NA",15,420,0.01,0,2,0.01
"39",227,3,"NA",15,659,0.01,0,8,0.01
"40",227,3,"NA",15,820,0.01,0,10,0.01
