"","scenario","run","dist.of.pi","num.of.studies","sample.sizes","true.pi","heterogeneity","num.of.events","sample.pi"
"1",38,1,"unif",15,576,0.001,0.5,1,0.000999408252974301
"2",38,1,"unif",15,844,0.001,0.5,1,0.000999923950265713
"3",38,1,"unif",15,861,0.001,0.5,2,0.00100017234150728
"4",38,1,"unif",15,337,0.001,0.5,0,0.00100052220495387
"5",38,1,"unif",15,817,0.001,0.5,1,0.00100063342358381
"6",38,1,"unif",15,229,0.001,0.5,1,0.00100085885393819
"7",38,1,"unif",15,491,0.001,0.5,1,0.000999506347141962
"8",38,1,"unif",15,784,0.001,0.5,1,0.000999301635441504
"9",38,1,"unif",15,927,0.001,0.5,0,0.00100013441682119
"10",38,1,"unif",15,925,0.001,0.5,1,0.000999190612508984
"11",38,1,"unif",15,489,0.001,0.5,1,0.000999230058989732
"12",38,1,"unif",15,202,0.001,0.5,0,0.00100007782289962
"13",38,1,"unif",15,540,0.001,0.5,0,0.00100026115506957
"14",38,1,"unif",15,447,0.001,0.5,0,0.000999226878260075
"15",38,1,"unif",15,224,0.001,0.5,0,0.00100007491855938
"16",38,2,"unif",15,799,0.001,0.5,0,0.000999946929470031
"17",38,2,"unif",15,722,0.001,0.5,0,0.000999267539199976
"18",38,2,"unif",15,419,0.001,0.5,2,0.00100037370922813
"19",38,2,"unif",15,575,0.001,0.5,0,0.000999390613490594
"20",38,2,"unif",15,854,0.001,0.5,0,0.000999144077180682
"21",38,2,"unif",15,734,0.001,0.5,0,0.00100002834707873
"22",38,2,"unif",15,629,0.001,0.5,0,0.000999310926656218
"23",38,2,"unif",15,854,0.001,0.5,0,0.00100084577152413
"24",38,2,"unif",15,484,0.001,0.5,1,0.000999399790091871
"25",38,2,"unif",15,542,0.001,0.5,0,0.00100011620378354
"26",38,2,"unif",15,532,0.001,0.5,1,0.000999855706388548
"27",38,2,"unif",15,980,0.001,0.5,1,0.00100062487511846
"28",38,2,"unif",15,912,0.001,0.5,2,0.000999571467772218
"29",38,2,"unif",15,671,0.001,0.5,0,0.000999463739136295
"30",38,2,"unif",15,363,0.001,0.5,0,0.000999838433255935
"31",38,3,"unif",15,429,0.001,0.5,1,0.00100065784534377
"32",38,3,"unif",15,404,0.001,0.5,0,0.000999995754150594
"33",38,3,"unif",15,461,0.001,0.5,0,0.00100076175312556
"34",38,3,"unif",15,705,0.001,0.5,1,0.00100047753960662
"35",38,3,"unif",15,863,0.001,0.5,1,0.000999529482440533
"36",38,3,"unif",15,613,0.001,0.5,0,0.00100063231120271
"37",38,3,"unif",15,820,0.001,0.5,0,0.0010001339046424
"38",38,3,"unif",15,628,0.001,0.5,0,0.000999948131901119
"39",38,3,"unif",15,724,0.001,0.5,0,0.00100009103610165
"40",38,3,"unif",15,988,0.001,0.5,0,0.000999411500771332
"41",38,3,"unif",15,644,0.001,0.5,2,0.00100055726965387
"42",38,3,"unif",15,494,0.001,0.5,0,0.000999964299313919
"43",38,3,"unif",15,809,0.001,0.5,0,0.0010001013840722
"44",38,3,"unif",15,428,0.001,0.5,0,0.000999440959022954
"45",38,3,"unif",15,407,0.001,0.5,0,0.000999287492514302
"46",38,4,"unif",15,787,0.001,0.5,0,0.000999686990557799
"47",38,4,"unif",15,236,0.001,0.5,0,0.000999641649384182
"48",38,4,"unif",15,600,0.001,0.5,0,0.00100002505089521
"49",38,4,"unif",15,623,0.001,0.5,0,0.00099921517825529
"50",38,4,"unif",15,475,0.001,0.5,0,0.000999350664472549
"51",38,4,"unif",15,733,0.001,0.5,1,0.000999668785911894
"52",38,4,"unif",15,800,0.001,0.5,0,0.000999297818095051
"53",38,4,"unif",15,266,0.001,0.5,0,0.000999831390688162
"54",38,4,"unif",15,338,0.001,0.5,1,0.000999436323257915
"55",38,4,"unif",15,402,0.001,0.5,0,0.00100066634648647
"56",38,4,"unif",15,553,0.001,0.5,0,0.00100051909254536
"57",38,4,"unif",15,225,0.001,0.5,1,0.000999702693513707
"58",38,4,"unif",15,367,0.001,0.5,1,0.000999906706381793
"59",38,4,"unif",15,211,0.001,0.5,0,0.00100017781792021
"60",38,4,"unif",15,371,0.001,0.5,0,0.000999748387923931
"61",38,5,"unif",15,635,0.001,0.5,2,0.00100076640356173
"62",38,5,"unif",15,855,0.001,0.5,0,0.00100001573884331
"63",38,5,"unif",15,486,0.001,0.5,0,0.00100000145644684
"64",38,5,"unif",15,581,0.001,0.5,0,0.000999714089754794
"65",38,5,"unif",15,231,0.001,0.5,0,0.00099948642530926
"66",38,5,"unif",15,569,0.001,0.5,0,0.00100074230923848
"67",38,5,"unif",15,811,0.001,0.5,1,0.000999912242549917
"68",38,5,"unif",15,250,0.001,0.5,0,0.00100008329486563
"69",38,5,"unif",15,379,0.001,0.5,0,0.000999486262598886
"70",38,5,"unif",15,667,0.001,0.5,0,0.00100053392486065
"71",38,5,"unif",15,601,0.001,0.5,1,0.000999665209651812
"72",38,5,"unif",15,254,0.001,0.5,0,0.000999592610743912
